Name,Status,Price,Stars,Ratings,Units,"Unit Price","regex method"
"LOT 4x Dell SK hynix SC210 128GB 2.5"" 7mm SATA 6G SSD Solid State Drive 0F6H38",Refurbished,$61.74,Pre,0,4,15.435,2
"SSD 2.5"" 240GB SATA III Internal Solid State Drive SSD Laptop Desktop SU630 Lot2","Brand New",$56.95,0,0,,-1,
"Lot of 10 Lite-On 128GB 2.5"" SATA III 6Gbps Solid State Drive SSD LCS-128M6S",Pre-Owned,$136.00,0,0,10,13.6,2
"Lot of 10 Samsung 128GB 6Gb/s SSD 2.5"" SATA Solid State MZ-7PC1280 MZ-7TD1280",Refurbished,$189.99,0,0,10,18.999,2
"Gigabyte SSD 256GB - Lot Of 3",Pre-Owned,$80.00,Tim,0,3,26.6666666666667,2
"Lot of 8 Samsung PM851 128GB 2.5 inch Solid State Drive [WIPED/TESTED]",Pre-Owned,$104.00,Pre,0,8,13,2
"3 SSD Lot 2 120GB 1 128GB. ADATA, MSI. 2 Enclosures",Pre-Owned,$49.99,0,0,2,24.995,2
"LOT 4 DELL/INTEL DC S3500 Series 160GB 2.5 SATA SSDSC2BB160G4T SSD HDD`S 0VH27H",Pre-Owned,$20.50,Tim,0,4,5.125,2
"Lot of  3 (2 Samsung 128GB 2.5 inch  And 1 Dell  128Gb Solid State Drive )",Pre-Owned,$50.00,0,0,3,16.6666666666667,2
"Lot of 4 Intel SSD Pro 180gb SATA Hard Drives",Pre-Owned,$70.00,0,0,4,17.5,2
"LOT OF (4) Kingston SSDnow V300 SV300S37A/120G 120GB 2.5"" SATA SSD. GET 5th FREE",Pre-Owned,$62.00,0,0,4,15.5,2
"Lot of 4 NEW SanDisk SSD PLUS 120GB SATA III 2.5"" 7mm SDSSDA-120G","Open box",$92.00,0,0,4,23,2
"Samsung 850 Pro 512GB Internal 2.5"" (MZ-7KE512) SSD ***LOT OF 5***",Pre-Owned,$240.00,5.0,0,5,48,2
"Lot of (10) Samsung SSD PM851 128GB mSATA 1.8"" MZMTE128HMGR-000D1",Pre-Owned,$180.00,5.0,0,10,18,2
"Lot Kingston V300 240GB 2.5in SSD SATA III 3 Internal Solid State Drive 6Gb/s SL",Pre-Owned,,Pre,0,,-1,
"120GB SSD SATA 3 2.5 Internal Solid State Drive SATA III Desktop Notebooks Lot 2","Brand New",$39.95,0,0,2,19.975,2
"lot of 5 LITE-ON SSD  2.5 SATA 128GB  HP 810261-001",Pre-Owned,$85.00,0,0,5,17,2
"Lot of 4 Lite-On 128GB 2.5"" SATA III 6Gbps Solid State Drive SSD LCS-128M6S",Pre-Owned,$54.00,0,0,4,13.5,2
"Lot of (11) 240GB & 256GB SSD 2.5"" 6gb/s SATA - Intel, Kingston, Micron, SanDisk",Pre-Owned,$299.00,0,0,11,27.1818181818182,2
"Lot of 10 Intel SSD Pro Drives 5 x 240GB 5 x 180GB",Refurbished,$156.50,Tim,0,10,15.65,2
"128gb Lite-On Samsung 2.5"" Laptop SSD Hard Drive Lot of 6 - Tested & Wiped",Pre-Owned,$99.99,0,0,6,16.665,2
"Lot of 10 Mostly Samsung 256GB mSATA SSD Solid State Drives, Tested, FREE SHIP!",Refurbished,$299.95,0,0,10,29.995,2
"NEW 512GB-LOT OF 2 TOSHIBA 256GB SSD KXG50ZNV256G NVMe/PCIe Gen3x4 M.2+Win10Pro","Brand New",$70.00,0,0,2,35,2
"2.5"" 120GB SATA III 3D NAND Internal Solid State Drive SSD 120 GB Lot 2","Brand New",$39.85,5.0,0,2,19.925,2
"Lot of 2 x Samsung 850 Pro 512GB 3D V-NAND SSD (MZ-7KE512BW) SATA III 6Gb/s 2.5",Pre-Owned,$139.99,5.0,0,2,69.995,2
"Lot of 4 Virtium StorFly 200CE SATA SSD 100GB VSF202CC100G",Pre-Owned,$60.00,Lot,0,4,15,2
